bird_id,sex,age,distance_trav_km,std_dist_km,95%_HR_km2,50%_core_km2,%_urban_HR,%_urban_core,%_closed_HR,%_closed_core,%_open_HR,%_open_core,mean_elev_HR_m,mean_elev_core_m,elev_range_HR_km,elev_range_core_km,prop_low_HR,prop_low_core,region,arrival_date,winter_duration_days,gps_fixes,winter,start_dd,start_mm,start_yyyy,end_dd,end_mm,end_yyyy
AUKI43,M,older,2840.3,2.028459712,7217.3,1644.9,1.8,2.7,31.3,27.8,66.9,69.5,747.5,672.8,1.291,1.138,14,11.8,pyrenees,c_late,74,443,2018/2019,11,12,2018,22,2,2019
AUKI86,F,first,1800,1.285507686,7121.6,1464.7,3.8,5.9,23.9,23.2,72.3,70.9,433.2,303.9,2.734,0.436,73.9,96.4,pyrenees,b_normal,155,1544,2017/2018,1,11,2017,4,4,2018
AUKO21,F,first,4989.7,2.38269989,6198.8,1210.3,1.3,1.5,14.6,2.2,84.1,96.3,752.7,752.4,0.666,0.223,0.4,0,iberia,a_early,166,1119,2017/2018,14,10,2017,28,3,2018
AUKI49,F,first,3266.8,3.813616999,5341.8,856,1.5,0.9,30.1,40.2,68.3,58.9,630.9,754.6,1.855,1.214,31.8,14.1,italy,a_early,188,1105,2016/2017,24,9,2016,30,3,2017
KITE07,F,older,1498.4,0.715521477,5174.4,917,0.9,0.7,47.6,51.3,51.5,48,458,578.1,1.373,0.761,70.8,32.9,iberia,c_late,67,275,2019/2020,7,12,2019,11,2,2020
AUKI16-B,F,older,950.5,0.678819475,4520.2,582.6,8.8,3,17.5,26.9,73.7,70.1,520.5,619.6,1.348,0.65,47.3,13.8,pyrenees,b_normal,95,482,2019/2020,20,11,2019,22,2,2020
AUKO22,F,older,2787.7,1.331192754,4282.8,951.8,0.9,0.7,68.8,80.3,30.3,19,148.6,147.9,0.426,0.289,100,100,iberia,b_normal,142,972,2018/2019,27,10,2018,17,3,2019
AUKO28,M,older,2318,1.106899883,4011.1,556.4,6.7,0.4,27.5,22.1,65.8,77.5,872.7,857.8,1.877,0.562,0,0,iberia,b_normal,135,808,2018/2019,28,10,2018,11,3,2019
KITE07,F,older,2700.3,1.289457185,4001.8,1024.6,0.6,1,51.2,70.6,48.1,28.4,536.4,583.9,0.995,0.776,36.5,27.6,iberia,b_normal,86,356,2018/2019,27,11,2018,20,2,2019
AUKI49,F,older,2541.2,2.966561625,3804.1,734.7,3.2,0.8,27.6,39.9,69.2,59.3,510.2,673.2,1.723,1.225,48.4,21,italy,a_early,136,813,2018/2019,15,10,2018,27,2,2019
